Game Number,similar actions from similar states,Total similar states,Ratio of similar actions,Ratio of similar states
1259530349,6,8,0.75,0.26666666666666666
293427945,4,7,0.5714285714285714,0.5384615384615384
1992936157,4,6,0.6666666666666666,0.5
2121145642,2,2,1.0,0.08
210763906,3,5,0.6,0.38461538461538464
282820227,2,3,0.6666666666666666,0.125
1268475984,3,4,0.75,0.8
1024791001,6,8,0.75,0.2962962962962963
1982615403,2,2,1.0,0.05555555555555555
724580170,4,6,0.6666666666666666,0.6
1468448338,5,6,0.8333333333333334,0.75
28785704,5,8,0.625,0.8
362872929,10,12,0.8333333333333334,0.3870967741935484
138502817,6,8,0.75,0.36363636363636365
1592708415,2,2,1.0,0.08695652173913043
1421896798,6,7,0.8571428571428571,0.7
1085823252,5,8,0.625,0.38095238095238093
481302818,7,8,0.875,0.5
475207085,2,3,0.6666666666666666,0.2
7628633,7,9,0.7777777777777778,0.5294117647058824
2048554228,2,2,1.0,0.15384615384615385
2003883697,6,6,1.0,1.0
753527738,5,9,0.5555555555555556,0.2727272727272727
1148586616,2,2,1.0,0.07142857142857142
746449921,6,6,1.0,0.4
501783339,6,7,0.8571428571428571,0.5384615384615384
2143205301,6,8,0.75,0.8
805685756,6,6,1.0,0.23076923076923078
